[Oct 25 21:57:34] 
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Creation of dynamic property DUPX_Bootstrap::$archiveRatio is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:139]
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Creation of dynamic property DUPX_Bootstrap::$overwriteMode is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:144]
[Oct 25 21:57:34] ==DUPLICATOR INSTALLER BOOTSTRAP v1.4.7.2==
[Oct 25 21:57:34] ----------------------------------------------------
[Oct 25 21:57:34] Installer bootstrap start
[Oct 25 21:57:34] Ready to extract the installer
[Oct 25 21:57:34] Checking permission of destination folder
[Oct 25 21:57:34] ZipArchive exists so using that
[Oct 25 21:57:34] Successfully opened archive file.
[Oct 25 21:57:34] Extracting all files from archive within dup-installer
[Oct 25 21:57:34] [PHP ERR][ISSUE] MSG:Creation of dynamic property DUPX_Bootstrap::$installer_files_found is deprecated [CODE:8192|FILE:/var/www/html/vap70/20211214_vap70_[HASH]_20220815201624_archive.php|LINE:773]
[Oct 25 21:57:34] Success: dup-installer/dup-database__[HASH].sql >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/dup-scan__[HASH].json >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.s1.terms.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.help.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.s2.cpnl.lite.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.s3.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.s4.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.init1.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.s2.base.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.exception.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.security.error.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.s2.basic.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.s2.dbtest.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/index.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/views/view.s1.base.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.view.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/host/class.flywheel.host.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/host/class.liquidweb.host.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/host/class.custom.host.manager.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/host/interface.host.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/host/class.pantheon.host.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/host/class.wordpresscom.host.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/host/class.wpengine.host.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/host/class.godaddy.host.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.s3.func.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.password.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.http.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/class.csrf.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/config/class.boot.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/config/class.security.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/config/class.archive.config.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/config/class.conf.srv.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/config/class.constants.php >>> /var/www/html/vap70
[Oct 25 21:57:34] Success: dup-installer/classes/config/index.php >>> /var/www/html/vap70
